sample,Hash,nReads
TW_201703B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,12312
PO_201703A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,27054
PO_201703B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,16184
PO_201703C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,26229
PO_201703C.2,11a112ced1c85e620f6d97d82281a1bb58614e67,30362
PO_201703A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,15453
LL_201703E.2,11a112ced1c85e620f6d97d82281a1bb58614e67,23129
TW_201703B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,12208
LL_201703E.3,11a112ced1c85e620f6d97d82281a1bb58614e67,21007
PO_201703B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,23295
TW_201703C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,13128
LL_201703D.3,11a112ced1c85e620f6d97d82281a1bb58614e67,12560
TW_201703B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,12853
TW_201703A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,6317
LL_201703D.2,11a112ced1c85e620f6d97d82281a1bb58614e67,20742
PO_201703C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,17924
LL_201703F.3,11a112ced1c85e620f6d97d82281a1bb58614e67,25151
LL_201703F.1,11a112ced1c85e620f6d97d82281a1bb58614e67,36246
LL_201703E.1,11a112ced1c85e620f6d97d82281a1bb58614e67,32959
TW_201703A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,13100
TW_201703C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,9272
PO_201703A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,38785
LL_201703F.2,11a112ced1c85e620f6d97d82281a1bb58614e67,24495
TW_201703A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,11041
PO_201703B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,24166
TW_201703B.2,e294b257e9eaf219586d0deec990b0d66720bb9b,29518
PO_201703A.3,e294b257e9eaf219586d0deec990b0d66720bb9b,2366
PO_201703B.1,e294b257e9eaf219586d0deec990b0d66720bb9b,10049
PO_201703C.3,e294b257e9eaf219586d0deec990b0d66720bb9b,7200
PO_201703C.2,e294b257e9eaf219586d0deec990b0d66720bb9b,3820
PO_201703A.1,e294b257e9eaf219586d0deec990b0d66720bb9b,2138
LL_201703E.2,e294b257e9eaf219586d0deec990b0d66720bb9b,13676
TW_201703B.3,e294b257e9eaf219586d0deec990b0d66720bb9b,19401
LL_201703E.3,e294b257e9eaf219586d0deec990b0d66720bb9b,12601
PO_201703B.2,e294b257e9eaf219586d0deec990b0d66720bb9b,6321
TW_201703C.3,e294b257e9eaf219586d0deec990b0d66720bb9b,23792
LL_201703D.3,e294b257e9eaf219586d0deec990b0d66720bb9b,9203
TW_201703B.1,e294b257e9eaf219586d0deec990b0d66720bb9b,24950
TW_201703A.2,e294b257e9eaf219586d0deec990b0d66720bb9b,25378
LL_201703D.2,e294b257e9eaf219586d0deec990b0d66720bb9b,15180
PO_201703C.1,e294b257e9eaf219586d0deec990b0d66720bb9b,5438
LL_201703F.3,e294b257e9eaf219586d0deec990b0d66720bb9b,17003
LL_201703F.1,e294b257e9eaf219586d0deec990b0d66720bb9b,11485
LL_201703E.1,e294b257e9eaf219586d0deec990b0d66720bb9b,8414
TW_201703A.3,e294b257e9eaf219586d0deec990b0d66720bb9b,37914
TW_201703C.1,e294b257e9eaf219586d0deec990b0d66720bb9b,26942
PO_201703A.2,e294b257e9eaf219586d0deec990b0d66720bb9b,1118
LL_201703F.2,e294b257e9eaf219586d0deec990b0d66720bb9b,17981
TW_201703A.1,e294b257e9eaf219586d0deec990b0d66720bb9b,48456
PO_201703B.3,e294b257e9eaf219586d0deec990b0d66720bb9b,13899
PO_201703A.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,13805
PO_201703B.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,9256
PO_201703C.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,20120
PO_201703C.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,11808
PO_201703A.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,9697
LL_201703E.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,8570
TW_201703B.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,73
LL_201703E.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,10147
PO_201703B.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,4250
LL_201703D.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,5824
TW_201703B.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,217
LL_201703D.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,10789
PO_201703C.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,9739
LL_201703F.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,8772
LL_201703F.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,3079
LL_201703E.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,2591
TW_201703A.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,702
TW_201703C.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,195
PO_201703A.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,12690
LL_201703F.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,11969
TW_201703A.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,81
PO_201703B.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,19113
TW_201703B.2,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,377
PO_201703A.3,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,7345
PO_201703B.1,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,6816
PO_201703C.3,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,12550
PO_201703C.2,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,4929
PO_201703A.1,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,6492
LL_201703E.2,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,9086
TW_201703B.3,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,1263
LL_201703E.3,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,8939
PO_201703B.2,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,3832
TW_201703C.3,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,1146
LL_201703D.3,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,5769
TW_201703B.1,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,2265
TW_201703A.2,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,101
LL_201703D.2,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,10265
PO_201703C.1,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,6683
LL_201703F.3,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,8026
LL_201703F.1,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,2457
LL_201703E.1,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,2875
TW_201703A.3,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,3335
TW_201703C.1,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,1805
PO_201703A.2,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,4352
LL_201703F.2,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,11534
TW_201703A.1,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,1298
PO_201703B.3,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,11324
TW_201703B.2,7edcb3cd12bc6dfa116eb108fb9c9b95527a931e,9241
PO_201703A.3,7edcb3cd12bc6dfa116eb108fb9c9b95527a931e,508
PO_201703B.1,7edcb3cd12bc6dfa116eb108fb9c9b95527a931e,2064
PO_201703C.3,7edcb3cd12bc6dfa116eb108fb9c9b95527a931e,1761
PO_201703C.2,7edcb3cd12bc6dfa116eb108fb9c9b95527a931e,1053
PO_201703A.1,7edcb3cd12bc6dfa116eb108fb9c9b95527a931e,1061
LL_201703E.2,7edcb3cd12bc6dfa116eb108fb9c9b95527a931e,4487
TW_201703B.3,7edcb3cd12bc6dfa116eb108fb9c9b95527a931e,5910
LL_201703E.3,7edcb3cd12bc6dfa116eb108fb9c9b95527a931e,4174
PO_201703B.2,7edcb3cd12bc6dfa116eb108fb9c9b95527a931e,1761
TW_201703C.3,7edcb3cd12bc6dfa116eb108fb9c9b95527a931e,6469
LL_201703D.3,7edcb3cd12bc6dfa116eb108fb9c9b95527a931e,2655
TW_201703B.1,7edcb3cd12bc6dfa116eb108fb9c9b95527a931e,7617
TW_201703A.2,7edcb3cd12bc6dfa116eb108fb9c9b95527a931e,9005
LL_201703D.2,7edcb3cd12bc6dfa116eb108fb9c9b95527a931e,5563
PO_201703C.1,7edcb3cd12bc6dfa116eb108fb9c9b95527a931e,2125
LL_201703F.3,7edcb3cd12bc6dfa116eb108fb9c9b95527a931e,4242
LL_201703F.1,7edcb3cd12bc6dfa116eb108fb9c9b95527a931e,3738
LL_201703E.1,7edcb3cd12bc6dfa116eb108fb9c9b95527a931e,2646
TW_201703A.3,7edcb3cd12bc6dfa116eb108fb9c9b95527a931e,12285
TW_201703C.1,7edcb3cd12bc6dfa116eb108fb9c9b95527a931e,9488
PO_201703A.2,7edcb3cd12bc6dfa116eb108fb9c9b95527a931e,472
LL_201703F.2,7edcb3cd12bc6dfa116eb108fb9c9b95527a931e,6331
TW_201703A.1,7edcb3cd12bc6dfa116eb108fb9c9b95527a931e,16528
PO_201703B.3,7edcb3cd12bc6dfa116eb108fb9c9b95527a931e,5814
PO_201703A.3,74bd536a982117e99a75e40240e0e3b1b1f81a5c,4553
PO_201703B.1,74bd536a982117e99a75e40240e0e3b1b1f81a5c,2109
