sample,Hash,nReads
LL_201707B.1,c77678ba55303523ebfb97073b6920fb80c7b9db,38096
TR_201707B.1,c77678ba55303523ebfb97073b6920fb80c7b9db,32701
SA_201708A.2,c77678ba55303523ebfb97073b6920fb80c7b9db,76
PO_201707C.3,c77678ba55303523ebfb97073b6920fb80c7b9db,28560
LL_201707C.2,c77678ba55303523ebfb97073b6920fb80c7b9db,26270
LL_201708A.2,c77678ba55303523ebfb97073b6920fb80c7b9db,477
TW_201707C.2,c77678ba55303523ebfb97073b6920fb80c7b9db,65807
LL_201708C.1,c77678ba55303523ebfb97073b6920fb80c7b9db,10
LL_201708C.2,c77678ba55303523ebfb97073b6920fb80c7b9db,30
LL_201708A.1,c77678ba55303523ebfb97073b6920fb80c7b9db,34
PO_201707A.1,c77678ba55303523ebfb97073b6920fb80c7b9db,25958
TR_201708C.2,c77678ba55303523ebfb97073b6920fb80c7b9db,962
TR_201707A.2,c77678ba55303523ebfb97073b6920fb80c7b9db,33795
TW_201708B.2,c77678ba55303523ebfb97073b6920fb80c7b9db,1574
SA_201708C.1,c77678ba55303523ebfb97073b6920fb80c7b9db,31
PO_201708B.1,c77678ba55303523ebfb97073b6920fb80c7b9db,2506
LL_201707A.2,c77678ba55303523ebfb97073b6920fb80c7b9db,31867
PO_201707A.2,c77678ba55303523ebfb97073b6920fb80c7b9db,15951
PO_201708C.3,c77678ba55303523ebfb97073b6920fb80c7b9db,1761
LL_201708B.2,c77678ba55303523ebfb97073b6920fb80c7b9db,17
TW_201708C.1,c77678ba55303523ebfb97073b6920fb80c7b9db,409
SA_201707A.1,c77678ba55303523ebfb97073b6920fb80c7b9db,14284
SA_201707C.2,c77678ba55303523ebfb97073b6920fb80c7b9db,17799
SA_201707C.1,c77678ba55303523ebfb97073b6920fb80c7b9db,19831
TR_201707B.2,c77678ba55303523ebfb97073b6920fb80c7b9db,32937
TW_201708A.3,c77678ba55303523ebfb97073b6920fb80c7b9db,827
TR_201707C.1,c77678ba55303523ebfb97073b6920fb80c7b9db,38903
TW_201707C.3,c77678ba55303523ebfb97073b6920fb80c7b9db,41083
LL_201708B.3,c77678ba55303523ebfb97073b6920fb80c7b9db,20
SA_201707B.3,c77678ba55303523ebfb97073b6920fb80c7b9db,24934
TR_201708A.1,c77678ba55303523ebfb97073b6920fb80c7b9db,548
TW_201707B.1,c77678ba55303523ebfb97073b6920fb80c7b9db,57953
TR_201707B.3,c77678ba55303523ebfb97073b6920fb80c7b9db,59529
TR_201707A.3,c77678ba55303523ebfb97073b6920fb80c7b9db,44488
TW_201707C.1,c77678ba55303523ebfb97073b6920fb80c7b9db,39763
TR_201708B.3,c77678ba55303523ebfb97073b6920fb80c7b9db,206
SA_201708A.3,c77678ba55303523ebfb97073b6920fb80c7b9db,29
PO_201708A.2,c77678ba55303523ebfb97073b6920fb80c7b9db,6569
TR_201707C.3,c77678ba55303523ebfb97073b6920fb80c7b9db,25752
Ostrich.2,c77678ba55303523ebfb97073b6920fb80c7b9db,20
PO_201707B.2,c77678ba55303523ebfb97073b6920fb80c7b9db,19756
TR_201708B.2,c77678ba55303523ebfb97073b6920fb80c7b9db,643
SA_201707A.3,c77678ba55303523ebfb97073b6920fb80c7b9db,26166
SA_201707A.2,c77678ba55303523ebfb97073b6920fb80c7b9db,17508
LL_201707A.3,c77678ba55303523ebfb97073b6920fb80c7b9db,49188
LL_201707B.3,c77678ba55303523ebfb97073b6920fb80c7b9db,29907
TW_201708C.2,c77678ba55303523ebfb97073b6920fb80c7b9db,820
PO_201707B.1,c77678ba55303523ebfb97073b6920fb80c7b9db,23187
TW_201708B.1,c77678ba55303523ebfb97073b6920fb80c7b9db,968
SA_201707B.1,c77678ba55303523ebfb97073b6920fb80c7b9db,13752
Ostrich.1,c77678ba55303523ebfb97073b6920fb80c7b9db,108
PO_201708B.3,c77678ba55303523ebfb97073b6920fb80c7b9db,5257
SA_201708B.1,c77678ba55303523ebfb97073b6920fb80c7b9db,24
TW_201708B.3,c77678ba55303523ebfb97073b6920fb80c7b9db,814
LL_201707C.3,c77678ba55303523ebfb97073b6920fb80c7b9db,52641
PO_201707B.3,c77678ba55303523ebfb97073b6920fb80c7b9db,23255
PO_201707C.2,c77678ba55303523ebfb97073b6920fb80c7b9db,58562
PO_201707C.1,c77678ba55303523ebfb97073b6920fb80c7b9db,17288
TW_201708A.1,c77678ba55303523ebfb97073b6920fb80c7b9db,1167
Ostrich.3,c77678ba55303523ebfb97073b6920fb80c7b9db,22
PO_201708C.2,c77678ba55303523ebfb97073b6920fb80c7b9db,2369
LL_201708C.3,c77678ba55303523ebfb97073b6920fb80c7b9db,16
PO_201708A.1,c77678ba55303523ebfb97073b6920fb80c7b9db,15848
PO_201708B.2,c77678ba55303523ebfb97073b6920fb80c7b9db,2751
LL_201707B.2,c77678ba55303523ebfb97073b6920fb80c7b9db,34571
TW_201708C.3,c77678ba55303523ebfb97073b6920fb80c7b9db,557
TR_201708C.3,c77678ba55303523ebfb97073b6920fb80c7b9db,1062
TR_201708C.1,c77678ba55303523ebfb97073b6920fb80c7b9db,1595
PO_201707A.3,c77678ba55303523ebfb97073b6920fb80c7b9db,31125
TW_201707A.1,c77678ba55303523ebfb97073b6920fb80c7b9db,123104
TW_201708A.2,c77678ba55303523ebfb97073b6920fb80c7b9db,333
TW_201707A.2,c77678ba55303523ebfb97073b6920fb80c7b9db,59639
TW_201707A.3,c77678ba55303523ebfb97073b6920fb80c7b9db,90714
TR_201707C.2,c77678ba55303523ebfb97073b6920fb80c7b9db,90096
SA_201708A.1,c77678ba55303523ebfb97073b6920fb80c7b9db,69
TR_201708A.2,c77678ba55303523ebfb97073b6920fb80c7b9db,1802
TR_201708A.3,c77678ba55303523ebfb97073b6920fb80c7b9db,599
TW_201707B.3,c77678ba55303523ebfb97073b6920fb80c7b9db,64613
SA_201708B.3,c77678ba55303523ebfb97073b6920fb80c7b9db,216
SA_201707C.3,c77678ba55303523ebfb97073b6920fb80c7b9db,19781
TR_201708B.1,c77678ba55303523ebfb97073b6920fb80c7b9db,181
LL_201707C.1,c77678ba55303523ebfb97073b6920fb80c7b9db,33798
PO_201708A.3,c77678ba55303523ebfb97073b6920fb80c7b9db,3912
LL_201707A.1,c77678ba55303523ebfb97073b6920fb80c7b9db,32743
SA_201707B.2,c77678ba55303523ebfb97073b6920fb80c7b9db,24410
LL_201708B.1,c77678ba55303523ebfb97073b6920fb80c7b9db,159
TR_201707A.1,c77678ba55303523ebfb97073b6920fb80c7b9db,25928
SA_201708C.3,c77678ba55303523ebfb97073b6920fb80c7b9db,20
SA_201708B.2,c77678ba55303523ebfb97073b6920fb80c7b9db,42
TW_201707B.2,c77678ba55303523ebfb97073b6920fb80c7b9db,53897
PO_201708C.1,c77678ba55303523ebfb97073b6920fb80c7b9db,1151
SA_201708C.2,c77678ba55303523ebfb97073b6920fb80c7b9db,14
LL_201707B.1,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,21377
TR_201707B.1,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,23429
SA_201708A.2,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,2286
PO_201707C.3,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,42153
LL_201707C.2,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,17110
LL_201708A.2,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,380
TW_201707C.2,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,38737
