sample,Hash,nReads
PO_201706B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,26077
LL_201706B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3586
SA_201706B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,588
LL_201705A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3804
LL_201706A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,13530
TR_201705C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2937
LL_201705A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1188
Kangaroo.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,7
LL_201706B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,20361
SA_201706A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2506
PO_201706C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,28511
PO_201706A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,6294
LL_201705B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3250
TR_201706B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,8479
TW_201706C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,523
SA_201705B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,8904
TW_201705C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,83
TR_201705B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,9152
TW_201705A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,522
TR_201706A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,5741
TR_201705A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,7274
LL_201705B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,4920
SA_201705C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,6567
SA_201706B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,694
TW_201706B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,7070
LL_201706C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,11636
TR_201705B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,5742
TR_201706A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,8730
PO_201705A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2515
PO_201706C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,16577
TW_201705B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,677
TR_201706C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3861
PO_201705C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,479
PO_201705C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,388
TR_201705B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,8867
LL_201706B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,8753
TW_201706C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2788
LL_201706C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,5199
TW_201705A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,665
SA_201705A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,5070
PO_201705B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1460
TW_201705A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1846
SA_201706A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,70
SA_201706C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,4010
TW_201706A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,10656
LL_201706A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,9171
