sample,Hash,nReads
LK_201709C.2,11a112ced1c85e620f6d97d82281a1bb58614e67,4581
FH_201711C.2,11a112ced1c85e620f6d97d82281a1bb58614e67,3232
LK_201711B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,4335
FH_201709C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,5227
FH_201710C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,1107
FH_201711B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,3450
CP_201709A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,11308
FH_201709B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,9902
CP_201711C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,2561
FH_201710A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,949
FH_201711A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,4710
CP_201711A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,1707
CP_201710B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,3502
CP_201709C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,13743
CP_201710A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,5141
FH_201709C.2,11a112ced1c85e620f6d97d82281a1bb58614e67,4994
LK_201709B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,27790
LK_201710B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,5697
CP_201711A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,4351
CP_201711B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,2189
FH_201711B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,2435
LK_201709C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,7018
FH_201711A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,2835
CP_201711B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,3655
FH_201710A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,1997
CP_201711A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,4223
FH_201710B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,1846
CP_201710B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,2853
CP_201710C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,2795
LK_201709A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,16878
CP_201710B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,2697
LK_201709B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,8271
CP_201709B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,14115
LK_201711B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,5952
CP_201710C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,978
LK_201709A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,12143
CP_201709C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,9440
FH_201709A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,3862
FH_201711C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,5480
FH_201709B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,8646
CP_201709A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,18217
LK_201711A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,3613
CP_201711B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,7425
LK_201709A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,11766
LK_201710A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,6212
FH_201711A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,4720
CP_201709B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,14447
LK_201709C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,11594
LK_201711C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,876
LK_201710A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,1420
FH_201710B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,566
CP_201709A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,8710
CP_201710A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,1071
CP_201709B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,5354
LK_201711A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,5990
FH_201709B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,9869
LK_201711C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,2657
FH_201710A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,892
FH_201711C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,1150
CP_201711C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,1882
FH_201710B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,1188
LK_201709B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,15809
LK_201710B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,4362
LK_201710C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,1532
FH_201709A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,11078
FH_201710C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,1542
FH_201711B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,4758
FH_201710C.2,11a112ced1c85e620f6d97d82281a1bb58614e67,2516
LK_201710C.2,11a112ced1c85e620f6d97d82281a1bb58614e67,2966
CP_201710A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,9081
CP_201711C.2,11a112ced1c85e620f6d97d82281a1bb58614e67,9401
CP_201710C.2,11a112ced1c85e620f6d97d82281a1bb58614e67,9783
LK_201710A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,333
LK_201710C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,2427
FH_201709A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,11557
LK_201709C.2,8da6a90264f11ade3077e3ec214bc9995e17e14c,734
FH_201711C.2,8da6a90264f11ade3077e3ec214bc9995e17e14c,4387
LK_201711B.3,8da6a90264f11ade3077e3ec214bc9995e17e14c,1859
FH_201709C.1,8da6a90264f11ade3077e3ec214bc9995e17e14c,404
FH_201710C.3,8da6a90264f11ade3077e3ec214bc9995e17e14c,665
FH_201711B.3,8da6a90264f11ade3077e3ec214bc9995e17e14c,3985
CP_201709A.1,8da6a90264f11ade3077e3ec214bc9995e17e14c,653
FH_201709B.3,8da6a90264f11ade3077e3ec214bc9995e17e14c,118
CP_201711C.1,8da6a90264f11ade3077e3ec214bc9995e17e14c,2965
FH_201710A.2,8da6a90264f11ade3077e3ec214bc9995e17e14c,251
FH_201711A.3,8da6a90264f11ade3077e3ec214bc9995e17e14c,6201
CP_201711A.1,8da6a90264f11ade3077e3ec214bc9995e17e14c,2580
CP_201710B.3,8da6a90264f11ade3077e3ec214bc9995e17e14c,3455
CP_201709C.3,8da6a90264f11ade3077e3ec214bc9995e17e14c,906
CP_201710A.3,8da6a90264f11ade3077e3ec214bc9995e17e14c,1698
FH_201709C.2,8da6a90264f11ade3077e3ec214bc9995e17e14c,421
LK_201709B.1,8da6a90264f11ade3077e3ec214bc9995e17e14c,4333
LK_201710B.2,8da6a90264f11ade3077e3ec214bc9995e17e14c,1288
CP_201711A.3,8da6a90264f11ade3077e3ec214bc9995e17e14c,3297
CP_201711B.3,8da6a90264f11ade3077e3ec214bc9995e17e14c,1005
FH_201711B.1,8da6a90264f11ade3077e3ec214bc9995e17e14c,3536
