sample,Hash,nReads
SA_201703B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,3308
LK_201707A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,6
SA_201703C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,4032
LK_201706A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,4
CP_201707A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,12
SA_201703A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,5936
CP_201706B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,546
FH_201706A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,5
LK_201708B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,92
CP_201707B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,56
FH_201706A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,233
SA_201703A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,4303
LK_201706C.2,11a112ced1c85e620f6d97d82281a1bb58614e67,129
FH_201706A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,3
FH_201708C.2,11a112ced1c85e620f6d97d82281a1bb58614e67,15
FH_201708B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,82
FH_201707B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,4395
FH_201708A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,61
FH_201707A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,44
CP_201706B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,873
CP_201708A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,168
FH_201706B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,11
CP_201708A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,162
CP_201706C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,636
LK_201707C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,20
CP_201708B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,95
LK_201708A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,57
CP_201708C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,148
LK_201708C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,160
LK_201706C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,1061
CP_201706A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,860
SA_201703B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,3723
CP_201708B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,41
LK_201708A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,78
SA_201703C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,3996
LK_201708C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,275
TW_201709B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,9121
Kangaroo.3,11a112ced1c85e620f6d97d82281a1bb58614e67,10
TW_201709B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,11153
SA_201709B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,1825
TW_201709A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,12593
TR_201703A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,30336
TW_201711B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,42
TR_201711C.2,11a112ced1c85e620f6d97d82281a1bb58614e67,6887
SA_201711A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,421
TR_201711C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,4619
LL_201711C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,8
TR_201709B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,5559
SA_201709C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,1082
TW_201711A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,39
PO_201709B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,702
TR_201703B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,20394
PO_201711B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,55
PO_201711C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,157
SA_201709A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,4823
PO_201709C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,514
Kangaroo.1,11a112ced1c85e620f6d97d82281a1bb58614e67,10
SA_201711C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,1431
TR_201703A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,21812
TW_201711B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,4
TR_201709A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,3901
PO_201709A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,675
PO_201711B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,75
LL_201711B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,6
TR_201703C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,28781
PO_201711A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,21
Kangaroo.2,11a112ced1c85e620f6d97d82281a1bb58614e67,86
TR_201709B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,5171
TR_201703C.2,11a112ced1c85e620f6d97d82281a1bb58614e67,26147
LL_201709A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,5948
LL_201709C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,4459
SA_201709B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,2337
PO_201709A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,1229
TR_201703B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,26873
TW_201709C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,7520
SA_201709C.2,11a112ced1c85e620f6d97d82281a1bb58614e67,1479
TR_201709C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,4458
TR_201711A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,2282
TW_201711C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,229
TR_201709A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,4323
LL_201709B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,7613
FH_201708C.2,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,47
FH_201707B.3,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,45
CP_201706B.2,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,19
TW_201709B.1,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,5
Kangaroo.3,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,51188
TR_201703A.3,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,10
Kangaroo.1,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,57362
PO_201711B.2,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,12
Kangaroo.2,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,74721
TR_201711A.2,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,368
SA_201703B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,270
LK_201707A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,118
SA_201703C.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,73
LK_201706A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,267
CP_201707A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,323
SA_201703A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,55
CP_201707C.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2266
CP_201706B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,398
FH_201706A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,162
LK_201708B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,523
CP_201707B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1047
FH_201707C.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,421
LK_201707A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,709
FH_201706A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,149
CP_201707B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,899
LK_201706C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,259
FH_201706C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,418
FH_201706B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,290
FH_201706A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,137
FH_201708C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,252
FH_201708B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,16
FH_201707A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,570
FH_201707B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,565
FH_201708A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,431
FH_201707A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,288
CP_201706B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,486
CP_201708A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,267
FH_201706B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,303
CP_201708A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,437
LK_201707C.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,516
CP_201708B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,168
LK_201708A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,121
CP_201708C.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,173
LK_201706B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,164
LK_201708C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,239
CP_201706A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,675
SA_201703B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,12
CP_201708B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,333
LK_201708A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1301
SA_201703C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,77
CP_201707A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,210
LK_201707B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,824
LK_201708C.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,268
LK_201707B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,453
TW_201709B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,10
TW_201709B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,103
SA_201709B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,6290
TW_201709A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,17
TR_201703A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,269
TW_201711B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,10581
TR_201711C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,6359
SA_201711A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,11706
TR_201711C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,13403
LL_201711C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,4288
TR_201709B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2280
SA_201709C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,5440
TW_201711A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3129
PO_201709B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,7208
TR_201703B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,612
PO_201711B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,4421
PO_201711C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3050
SA_201709A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3865
PO_201709C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,8436
SA_201711C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,6091
TR_201703A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,29
TW_201711B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1239
TR_201709A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2548
PO_201709A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2477
PO_201711B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3125
LL_201711B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,8813
TR_201703C.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,458
PO_201711A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,5478
TR_201709B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3472
TR_201703C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,123
LL_201709A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2357
LL_201709C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2822
SA_201709B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1784
