sample,Hash,nReads
LK_201706B.2,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,13295
Kangaroo.3,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,94299
FH_201708A.3,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,60
LK_201707B.1,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,19
LK_201708B.2,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,99
LK_201708B.1,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,9
CP_201707C.1,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,47
Kangaroo.2,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,92931
TR_201703B.1,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,2
FH_201707B.1,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,5
Kangaroo.1,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,130137
FH_201708C.3,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,18
LK_201708C.2,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,3491
PO_201711A.3,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,1273
TW_201711A.2,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,39
PO_201711A.1,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,27
TR_201711A.1,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,74
SA_201709B.3,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,25
PO_201709B.2,2e46f9be10f6c3fe32646ff7213f9a80843c7e41,5
TR_201703C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,19491
LK_201706B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,18
LK_201707A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,75
LK_201706C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,1202
CP_201708A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,541
CP_201707A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,118
FH_201708B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,89
SA_201703C.2,11a112ced1c85e620f6d97d82281a1bb58614e67,11048
FH_201708A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,724
FH_201707C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,366
LK_201707B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,31
LK_201706A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,996
LK_201708B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,1294
LK_201708B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,1007
SA_201703B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,22253
FH_201706C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,146
LK_201707C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,173
CP_201706C.2,11a112ced1c85e620f6d97d82281a1bb58614e67,4156
CP_201708C.2,11a112ced1c85e620f6d97d82281a1bb58614e67,218
CP_201707C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,29
CP_201706C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,1634
CP_201708C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,325
CP_201708B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,915
FH_201708B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,60
LK_201706A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,32
CP_201706B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,875
TR_201703B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,31231
SA_201703A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,22361
FH_201706B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,12
FH_201707B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,16687
FH_201707B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,15748
FH_201708A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,401
Kangaroo.1,11a112ced1c85e620f6d97d82281a1bb58614e67,5
CP_201706A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,11937
TR_201703A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,20108
FH_201708C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,35
FH_201707A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,967
LK_201708C.2,11a112ced1c85e620f6d97d82281a1bb58614e67,543
FH_201708C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,158
FH_201706C.2,11a112ced1c85e620f6d97d82281a1bb58614e67,51
CP_201707B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,8
TW_201711C.2,11a112ced1c85e620f6d97d82281a1bb58614e67,58
TW_201711C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,5
TR_201709C.2,11a112ced1c85e620f6d97d82281a1bb58614e67,2154
TW_201709A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,8620
SA_201711C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,1106
TW_201709C.2,11a112ced1c85e620f6d97d82281a1bb58614e67,17210
TR_201709A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,3679
LL_201709C.2,11a112ced1c85e620f6d97d82281a1bb58614e67,5759
PO_201709C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,1774
SA_201711A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,135
SA_201709A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,2090
LL_201709A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,10058
LL_201709B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,5491
SA_201709C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,610
PO_201711C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,532
LL_201709A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,7388
PO_201711A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,32
TW_201711A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,130
SA_201711A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,1075
PO_201709B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,463
LL_201711B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,6
TR_201709C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,3514
PO_201711A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,34
TR_201711A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,1759
LL_201709B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,10263
PO_201711B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,84
LL_201709C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,6845
TW_201709A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,5570
TW_201709B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,4848
SA_201709A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,6
PO_201709A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,1541
PO_201709C.2,11a112ced1c85e620f6d97d82281a1bb58614e67,2226
SA_201709B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,2107
TR_201711C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,2225
PO_201709B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,852
TR_201709B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,5038
SA_201711C.2,11a112ced1c85e620f6d97d82281a1bb58614e67,538
TW_201709C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,8135
TR_201711A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,6549
TR_201703C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,108
LK_201706B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,4
LK_201707A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1143
LK_201706C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,449
Kangaroo.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,7
CP_201708A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,520
CP_201707A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1512
FH_201708B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,907
SA_201703C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,166
FH_201708A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1452
FH_201707C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,7448
LK_201707B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2560
LK_201706A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1152
LK_201707C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3524
FH_201707C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1385
LK_201708B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2030
LK_201708B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,260
SA_201703B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1581
FH_201706C.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,970
LK_201707C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3900
CP_201706C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,693
CP_201708C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,739
CP_201707C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2969
CP_201708C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1358
CP_201708B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1273
CP_201707C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,4109
FH_201708B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,8307
LK_201706A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,261
CP_201706B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2317
TR_201703B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,774
FH_201706B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,954
FH_201707B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2335
FH_201707B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,4129
FH_201708A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,4060
FH_201708C.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,628
FH_201707A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3601
LK_201708C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2160
FH_201708C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,710
FH_201706C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2614
CP_201707B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,581
TW_201711C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3858
TW_201711A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,5645
TW_201711C.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,4090
TR_201709C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,425
TW_201709A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1175
SA_201711C.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,11065
LL_201711C.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,458
TW_201709C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,463
TR_201709A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,442
LL_201709C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2425
PO_201709C.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,5706
SA_201711A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1547
SA_201709A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,676
LL_201709A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1334
LL_201709B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2591
SA_201709C.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1267
PO_201711C.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,5563
TW_201711B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,6267
LL_201709A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,4938
PO_201711A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1856
TW_201711A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,12116
SA_201711A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,9102
PO_201709B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3319
LL_201711B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2656
TR_201709C.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,52
PO_201711A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,7570
TR_201711A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,5020
LL_201709B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2161
PO_201711B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2839
LL_201709C.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1682
TW_201709A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,332
PO_201709A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,5957
PO_201709C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,6332
SA_201709B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3241
TR_201711C.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,5720
PO_201709B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3942
PO_201711C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,7344
TR_201709B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3598
LL_201711B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,4049
SA_201711C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,8746
TW_201709C.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,124
TR_201711A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3889
LK_201706B.2,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,7
LK_201707A.3,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,32
CP_201708A.2,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,17771
CP_201707A.3,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,28
FH_201708B.1,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,8733
SA_201703C.2,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,10
FH_201708A.3,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,8977
FH_201707C.1,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,811
LK_201707B.1,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,1028
LK_201707C.2,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,375
FH_201707C.2,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,75
LK_201708B.2,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,5775
LK_201708B.1,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,7864
LK_201707C.1,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,125
CP_201708C.2,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,28921
CP_201706C.1,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,6
CP_201708C.1,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,15514
Kangaroo.2,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,13
CP_201708B.1,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,32571
CP_201707C.2,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,1230
FH_201708B.3,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,10151
LK_201708A.3,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,3571
SA_201703A.2,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,115
FH_201707B.2,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,62
FH_201707B.1,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,65
FH_201708A.2,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,10050
TR_201703A.1,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,5
FH_201708C.3,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,6775
FH_201707A.2,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,235
LK_201708C.2,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,20874
FH_201708C.1,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,6490
CP_201707B.2,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,113
TW_201711C.2,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,5
LL_201711C.3,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,4
PO_201709C.3,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,4
SA_201711A.2,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,8
TR_201711C.3,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,7
LL_201711B.3,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,8
LL_201711C.2,3d62f7951be99bcd6e3f34169799df6c7a98a9b4,7
FH_201707C.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,2
LK_201707C.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,6
TR_201703B.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,27
LK_201708C.2,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,7
TW_201711C.2,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,1094
TW_201711A.3,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,2140
TW_201711C.3,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,198
TR_201709C.2,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,8
TW_201709A.2,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,5
SA_201711C.3,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,4666
TR_201709A.3,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,76
LL_201709C.2,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,1002
PO_201709C.3,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,17901
SA_201711A.3,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,110
SA_201709A.3,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,14352
LL_201709A.2,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,1318
LL_201709B.3,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,893
SA_201709C.3,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,4080
PO_201711C.3,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,2086
TW_201711B.3,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,13
LL_201709A.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,602
PO_201711A.3,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,1317
TW_201711A.2,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,4026
SA_201711A.2,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,1151
PO_201709B.3,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,8228
PO_201711A.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,1211
TR_201711A.1,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,14620
LL_201709B.2,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,2887
PO_201711B.3,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,1193
LL_201709C.3,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,1662
TW_201709A.3,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,195
PO_201709A.2,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,25316
PO_201709C.2,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,18666
SA_201709B.3,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,18619
TR_201711C.3,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,5221
PO_201709B.2,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,23003
PO_201711C.2,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,1679
LL_201711B.3,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,33
SA_201711C.2,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,9169
LL_201711C.2,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,2
TR_201711A.3,8b2bbda6b6caf99f1a8207f9e235892d85bc10cc,1795
TR_201703C.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,10954
LK_201706B.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,17
LK_201706C.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,329
CP_201708A.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,3701
FH_201708B.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,5378
SA_201703C.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,10540
FH_201708A.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,3428
FH_201707C.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,321
LK_201707B.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,375
LK_201706A.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,4
LK_201707C.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,557
FH_201707C.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,45
LK_201708B.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,378
LK_201708B.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,1607
SA_201703B.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,18743
FH_201706C.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,27
CP_201708C.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,9413
CP_201706C.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,150
CP_201708C.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,4905
CP_201708B.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,7394
FH_201708B.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,4859
LK_201706A.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,211
CP_201706B.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,552
TR_201703B.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,10950
SA_201703A.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,2502
FH_201706B.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,76
FH_201707B.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,2966
FH_201707B.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,4545
FH_201708A.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,4635
CP_201706A.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,1757
TR_201703A.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,7768
FH_201708C.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,431
FH_201707A.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,70
LK_201708C.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,2042
FH_201708C.1,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,2884
FH_201706C.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,66
CP_201707B.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,681
TW_201711C.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,11
TR_201709C.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,2
TW_201709A.2,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,442
SA_201711C.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,4
LL_201711C.3,b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,5
