sample,Hash,nReads
PO20170311F.1,11a112ced1c85e620f6d97d82281a1bb58614e67,16466
LL20170311E.2,11a112ced1c85e620f6d97d82281a1bb58614e67,29680
TW20170311B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,12312
PO20170311A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,27054
PO20170311B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,16184
PO20170311C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,26229
LL20170311E.1,11a112ced1c85e620f6d97d82281a1bb58614e67,26390
TW20170311F.2,11a112ced1c85e620f6d97d82281a1bb58614e67,10827
TW20170312D.3,11a112ced1c85e620f6d97d82281a1bb58614e67,14637
PO20170312F.3,11a112ced1c85e620f6d97d82281a1bb58614e67,40464
PO20170311C.2,11a112ced1c85e620f6d97d82281a1bb58614e67,30362
TW20170312F.2,11a112ced1c85e620f6d97d82281a1bb58614e67,12997
TW20170312C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,35497
PO20170311F.2,11a112ced1c85e620f6d97d82281a1bb58614e67,36516
PO20170311A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,15453
LL20170312B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,45182
TW20170311F.1,11a112ced1c85e620f6d97d82281a1bb58614e67,7629
LL20170312E.2,11a112ced1c85e620f6d97d82281a1bb58614e67,23129
TW20170312A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,36852
LL20170311E.3,11a112ced1c85e620f6d97d82281a1bb58614e67,27036
LL20170312A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,35301
PO20170311E.3,11a112ced1c85e620f6d97d82281a1bb58614e67,21198
TW20170311B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,12208
LL20170311A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,39889
TW20170312E.3,11a112ced1c85e620f6d97d82281a1bb58614e67,13406
PO20170312C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,27990
LL20170312D.1,11a112ced1c85e620f6d97d82281a1bb58614e67,7540
TW20170312E.1,11a112ced1c85e620f6d97d82281a1bb58614e67,2775
PO20170312B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,44274
LL20170311B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,28
LL20170312E.3,11a112ced1c85e620f6d97d82281a1bb58614e67,21007
PO20170311E.1,11a112ced1c85e620f6d97d82281a1bb58614e67,15429
LL20170311A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,24020
TW20170312F.3,11a112ced1c85e620f6d97d82281a1bb58614e67,65826
TW20170312A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,24387
