MiSeq_Run,sample,Hash,nReads
5,SA_201703B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,3297
5,SA_201703C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,4019
5,CP_201707A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,1
5,SA_201703A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,5922
5,CP_201706B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,534
5,LK_201708B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,83
5,CP_201707B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,42
5,FH_201706A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,218
5,SA_201703A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,4291
5,LK_201706C.2,11a112ced1c85e620f6d97d82281a1bb58614e67,115
5,FH_201708C.2,11a112ced1c85e620f6d97d82281a1bb58614e67,2
5,FH_201708B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,66
5,FH_201707B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,4383
5,FH_201708A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,50
5,FH_201707A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,34
5,CP_201706B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,859
5,CP_201708A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,153
5,CP_201708A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,150
5,CP_201706C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,617
5,LK_201707C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,7
5,CP_201708B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,86
5,LK_201708A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,44
5,CP_201708C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,138
5,LK_201708C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,151
5,LK_201706C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,1045
5,CP_201706A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,849
5,SA_201703B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,3711
5,CP_201708B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,29
5,LK_201708A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,63
5,SA_201703C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,3982
5,LK_201708C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,265
5,TW_201709B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,9027
5,TW_201709B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,11060
5,SA_201709B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,1756
5,TW_201709A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,12511
5,TR_201703A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,30255
5,TR_201711C.2,11a112ced1c85e620f6d97d82281a1bb58614e67,6784
5,SA_201711A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,362
5,TR_201711C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,4550
5,TR_201709B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,5475
5,SA_201709C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,1021
5,PO_201709B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,637
5,TR_201703B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,20322
5,PO_201711C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,117
