sample,Hash,nReads
LL_201801B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,9344
TW_201801B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,6557
TW_201801A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,12433
LL_201801A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,7500
SA_201801C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,6026
LL_201801C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,4991
TR_201801A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,5708
LL_201801C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,7571
SA_201801B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,9155
PO_201801A.3,11a112ced1c85e620f6d97d82281a1bb58614e67,5547
LL_201801B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,17146
LL_201803C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,2123
TR_201803B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,173
PO_201801B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,4736
TW_201801A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,10404
TR_201801B.3,11a112ced1c85e620f6d97d82281a1bb58614e67,18515
LL_201801C.2,11a112ced1c85e620f6d97d82281a1bb58614e67,10243
PO_201801C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,5349
TR_201801A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,14554
SA_201803C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,140
TW_201801C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,6570
TW_201801B.2,11a112ced1c85e620f6d97d82281a1bb58614e67,15414
SA_201801A.1,11a112ced1c85e620f6d97d82281a1bb58614e67,6967
TR_201801C.1,11a112ced1c85e620f6d97d82281a1bb58614e67,6075
TR_201801C.3,11a112ced1c85e620f6d97d82281a1bb58614e67,15568
LL_201710_B.1,11a112ced1c85e620f6d97d82281a1bb58614e67,171
PO_201801A.2,11a112ced1c85e620f6d97d82281a1bb58614e67,6862
