ID,Kingdom,PhylumDivision,Class,Order,Family,Genus,Species,CommonName,Nonindigenous,EarlyLifeMinerology,AdultMinerology,PugetSoundReference,EarlyLifeMineralReference,AdultMineralReference,SpeciesTaxonomyReference
1,Plantae,Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichaceae,Acrosiphonia,saxatilis,,,Non-CaCO3 mineral,Non-CaCO3 mineral,Scagel et al 1989,Assumed no CaCO3 structures as none in adult,Leilaert and Coppejans 2004,AlgaeBase
2,Plantae,Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichaceae,Acrosiphonia,spinescens,,,Non-CaCO3 mineral,Non-CaCO3 mineral,Scagel et al 1989,Assumed no CaCO3 structures as none in adult,Leilaert and Coppejans 2004,AlgaeBase
3,Chromista,Miozoa,Dinophyceae,Actiniscales,Actiniscaceae,Actiniscus,pentasterias,,,No mineralization,No mineralization,"Rita Horner, personal communication",Assumed no mineralization as none in adult,Blaxter et al 1980,AlgaeBase
4,Chromista,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,senarius,Diatom,,Non-CaCO3 mineral,Non-CaCO3 mineral,"Rita Horner, personal communication",Assumed no CaCO3 structures as none in adult,Lowenstam and Weiner 1989,AlgaeBase
5,Animalia,Porifera,Demospongiae,Poecilosclerida,Chalinidae,Adocia,_intentionally left blank,Pale Orange Carpet Sponge,,Non-CaCO3 mineral,Non-CaCO3 mineral,Emerald Diving,Assumed no CaCO3 structures as none in adult,Barnes et al 2001,ITIS
6,Animalia,Porifera,Demospongiae,Poecilosclerida,Chalinidae,Adocia,_intentionally left blank,White Sponge,,Non-CaCO3 mineral,Non-CaCO3 mineral,Emerald Diving,Assumed no CaCO3 structures as none in adult,Barnes et al 2001,ITIS
7,Animalia,Mollusca,Bivalvia,Veneroida,Thyasiridae,Adontorhina,cyclia,Circle axinopsid,,"Amorphous, Aragonite",Aragonite,"Mickelson, personal communication; PSMEP_Benthic_Inverts(Berry 1947)","Lee et al 2006, Weiss et al 2002",Taylor et al 1969,ITIS
8,Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,Adula,californiensis,"California datemussel, California Pea-Pod Borer",,"Amorphous, Aragonite","Aragonite, Calcite",WSU Beachwatchers,"Lee et al 2006, Weiss et al 2002",Checa et al 2007,ITIS
9,Animalia,Chordata,Aves,Charadriiformes,Podicipedidae,Aechmophorus,occidentalis,Western Grebe,,Vertebrate,Vertebrate,Gaydos and Pearson 2011,Vertebrate,Vertebrate,ITIS
10,Animalia,Mollusca,Gastropoda,Nudibranchia,Aeolidiidae,Aeolidia,papillosa,Shag rug aeolis,,"Amorphous, Aragonite",No mineralization,Palsson; PSMEP_Benthic_Inverts((Linnaeus 1761)),"Eyster and Morse 1984, Eyster 1986, Hasse et al 2000",California Academy of Sciences,ITIS
11,Animalia,Cnidaria,Hydrozoa,Leptothecatae,Aequoreidae,Aequorea,forskalea,Jellyfish,,No mineralization,No mineralization,Race Rocks,Assumed no mineralization as none in adult,"Lowenstem and Weiner 1989, Geneve Museum",ITIS
12,Animalia,Arthropoda,Maxillopoda,Calanoida,Aetideidae,Aetideus,armatus,,,No mineralization,No mineralization,Damkaer 1964,Assumed no mineralization as none in adult,Fahrenbach 1994,ITIS
13,Animalia,Mollusca,Gastropoda,Basommatophora,Siphonariidae,_intentionally left blank,_intentionally left blank,,,"Amorphous, Aragonite","Aragonite, Calcite","Smith 1976, Harbo's shells + shellfish of PNW","Eyster 1986, Hasse et al 2000","Hedegaard et al 1997, Dodd 1967, Anistratenko 2007",ITIS
14,Animalia,Nematoda,_intentionally left blank,_intentionally left blank,_intentionally left blank,_intentionally left blank,_intentionally left blank,,,No mineralization,No mineralization,"Mickelson, personal communication",Assumed no mineralization as none in adult,UC Museum of Paleontology,ITIS
