family,phylum,kingdom
Amoebozoa,Amoebozoa,Amoebozoa
Dactylopodida,Dactylopodida,Amoebozoa
Discosea,Discosea,Amoebozoa
Paramoebidae,Discosea,Amoebozoa
Acanthamoebidae,Discosea,Amoebozoa
Cochliopodiidae,Himatismenida,Amoebozoa
Parvamoeba,Himatismenida,Amoebozoa
Hartmannellidae,Tubulinida,Amoebozoa
Tubulinida,Tubulinida,Amoebozoa
Apusomonadidae,Apusomonadidae,Apusozoa
Bacteria,Bacteria,Bacteria
Flavobacteriaceae,Bacteroidetes,Bacteria
Pelagibacteraceae,Proteobacteria,Bacteria
Pyrenomonadaceae,Pyrenomonadales,Cryptophyta
Syndiniaceae,Dinophyceae,Dinoflagellates
Thoracosphaeraceae,Dinophyceae,Dinoflagellates
Dinophyceae,Dinophyceae,Dinoflagellates
Gonyaulacales,Dinophyceae,Dinoflagellates
Peridiniales,Dinophyceae,Dinoflagellates
Protoperidiniaceae,Dinophyceae,Dinoflagellates
Heterocapsaceae,Dinophyceae,Dinoflagellates
Lophodiniaceae,Dinophyceae,Dinoflagellates
Pfiesteriaceae,Dinophyceae,Dinoflagellates
Prorocentraceae,Dinophyceae,Dinoflagellates
Dinophysiaceae,Dinophyceae,Dinoflagellates
Gonyaulacaceae,Dinophyceae,Dinoflagellates
Gymnodiniaceae,Dinophyceae,Dinoflagellates
Kareniaceae,Dinophyceae,Dinoflagellates
Eukaryota,Eukaryota,Eukaryota
Ascomycota,Ascomycota,Fungi
Aspergillaceae,Ascomycota,Fungi
Eurotiales,Ascomycota,Fungi
Eurotiomycetidae,Ascomycota,Fungi
Helotiaceae,Ascomycota,Fungi
Helotiales,Ascomycota,Fungi
Herpotrichiellaceae,Ascomycota,Fungi
Hypocreales,Ascomycota,Fungi
Lecanorineae,Ascomycota,Fungi
Leohumicola,Ascomycota,Fungi
leotiomyceta,Ascomycota,Fungi
Leotiomycetes,Ascomycota,Fungi
Leotiomycetes incertae sedis,Ascomycota,Fungi
OSLEUM clade,Ascomycota,Fungi
Parmeliaceae,Ascomycota,Fungi
Pseudeurotiaceae,Ascomycota,Fungi
saccharomyceta,Ascomycota,Fungi
sordariomyceta,Ascomycota,Fungi
Sordariomycetes,Ascomycota,Fungi
Chaetomellaceae,Ascomycota,Fungi
Hypocreaceae,Ascomycota,Fungi
Cordycipitaceae,Ascomycota,Fungi
Nectriaceae,Ascomycota,Fungi
Dipodascaceae,Ascomycota,Fungi
Ascomycota incertae sedis,Ascomycota,Fungi
Basidiomycota,Basidiomycota,Fungi
Psathyrellaceae,Basidiomycota,Fungi
Sporidiobolaceae,Basidiomycota,Fungi
Blastocladiaceae,Blastocladiomycota,Fungi
Fungi,Fungi,Fungi
Lichtheimiaceae,Mucoromycota,Fungi
Chrysochromulinaceae,Haptophyceae,Haptophyceae
Noelaerhabdaceae,Haptophyceae,Haptophyceae
Phaeocystaceae,Haptophyceae,Haptophyceae
Katablepharidaceae,Katablepharidophyta,Heterotrophic_flagellates
Annelida,Annelida,Metazoa
Capitellida,Annelida,Metazoa
Capitellidae,Annelida,Metazoa
Cirratulidae,Annelida,Metazoa
Eunicida,Annelida,Metazoa
Glyceridae,Annelida,Metazoa
Haplotaxida,Annelida,Metazoa
Naididae,Annelida,Metazoa
Nereididae,Annelida,Metazoa
Orbiniidae,Annelida,Metazoa
Phyllodocida,Annelida,Metazoa
Phyllodocidae,Annelida,Metazoa
Polychaeta,Annelida,Metazoa
Polynoidae,Annelida,Metazoa
Sabellida,Annelida,Metazoa
Sabellidae,Annelida,Metazoa
Scolecida,Annelida,Metazoa
Spionidae,Annelida,Metazoa
Syllidae,Annelida,Metazoa
Terebellida,Annelida,Metazoa
Terebellidae,Annelida,Metazoa
Tubificina,Annelida,Metazoa
unclassified Annelida,Annelida,Metazoa
Chrysopetalidae,Annelida,Metazoa
Dorvilleidae,Annelida,Metazoa
Oweniidae,Annelida,Metazoa
Phascolosomatidae,Annelida,Metazoa
Tubificidae,Annelida,Metazoa
Megascolecidae,Annelida,Metazoa
Opheliidae,Annelida,Metazoa
Lumbricidae,Annelida,Metazoa
Maldanidae,Annelida,Metazoa
Eunicidae,Annelida,Metazoa
Pectinariidae,Annelida,Metazoa
Nephtyidae,Annelida,Metazoa
Saccocirridae,Annelida,Metazoa
Enchytraeidae,Annelida,Metazoa
Aphroditidae,Annelida,Metazoa
Acartiidae,Arthropoda,Metazoa
Archaeobalanidae,Arthropoda,Metazoa
Arthropoda,Arthropoda,Metazoa
