Hash,Family.insect,Genus.insect,Species.insect,Family.blast,Genus.blast,Species.blast,family,genus,species,tot.reads,tot.reps,tot.sites
00616a421c92928530cd4f6653722e00616d21e7,NA,NA,NA,NA,NA,NA,Rhizosoleniaceae,Rhizosolenia,Rhizosolenia setigera,175536,309,8
0092f101a5c9bf67c1f9efef6682591d5a5b894e,NA,NA,NA,NA,NA,NA,NA,NA,NA,14244,169,8
0153c8aefbbbf4533d1a7477513b3963e9a645c9,NA,NA,NA,NA,NA,NA,NA,NA,NA,947,77,8
02b1a41e5ba6425ceac596e30602d2c98bb4577d,NA,NA,NA,NA,NA,NA,NA,NA,NA,1235,38,6
04829c7dba52b160b7acc9e67d6cdfbd9b957fac,NA,NA,NA,NA,NA,NA,NA,NA,NA,5569,61,8
0668d1d92655b0cf087703f51ea108e6eae86fd4,NA,NA,NA,NA,NA,NA,Thalassiosiraceae,Thalassiosira,Thalassiosira nordenskioeldii,4691,18,6
0792a5deca31e70e00cd827f2ef6f99e05a8643e,NA,NA,NA,NA,NA,NA,NA,NA,NA,426,35,6
0c61d0096e08d8e9694b58a79fa775322681a089,NA,NA,NA,NA,NA,NA,NA,NA,NA,13275,64,8
0cb9ccfcbf2bd84b2daab0a2eaec99032c594f94,NA,NA,NA,NA,NA,NA,NA,NA,NA,45222,48,5
0cc61f9369878388abdc7599e4b6d9ce896e221c,NA,NA,NA,NA,NA,NA,NA,NA,NA,7548,113,8
11a112ced1c85e620f6d97d82281a1bb58614e67,NA,NA,NA,NA,NA,NA,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos,4703032,578,8
145c6923bcc5b1c8859476d89fe4c342eca470ae,NA,NA,NA,NA,NA,NA,NA,NA,NA,424,7,3
14e21ec9b37d5162dc34cd67d5d5b38e896ff4af,NA,NA,NA,NA,NA,NA,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos,50989,163,8
16ce66aee20aa6ef7da942626c554ca1c8e1a977,NA,NA,NA,NA,NA,NA,NA,NA,NA,9604,117,8
17d550ce9e88e37e1e9aff9e4da7b6fff0c92532,NA,NA,NA,NA,NA,NA,Melosiraceae,Melosira,Melosira nummuloides,1222,8,2
1be582f4864bb68faa5cc5f7218171f26c3076b0,NA,NA,NA,NA,NA,NA,NA,NA,NA,112562,254,8
1fce93c7ffa9507d4a1c1cc383b3b4ca7a4332a2,NA,NA,NA,NA,NA,NA,NA,NA,NA,615,13,5
21339049f9f2dbbe4bd1a551573819232612257c,NA,NA,NA,NA,NA,NA,NA,NA,NA,3665,57,8
243b0ee3206bd1fb74f342b873fd010315a395e5,NA,NA,NA,NA,NA,NA,NA,NA,NA,126318,272,8
248f83207137950324efa63cfa3f4ec93cbdf537,NA,NA,NA,NA,NA,NA,NA,NA,NA,85963,171,8
24eb69b4d3a5866cca8ca108bbb48a94882dcd63,NA,NA,NA,NA,NA,NA,NA,NA,NA,31290,185,8
2552ba86273f83b5047c44f5d5657c22f6c985c8,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,17,5
27291105fde58af305e58cd01f16963b7c414e95,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,6,3
29a25f59c9ab313dba122a19685cb555355f2415,NA,NA,NA,NA,NA,NA,NA,NA,NA,186232,257,8
29a69200b82ebe89aa08a708c06f767acd778488,NA,NA,NA,NA,NA,NA,NA,NA,NA,6027,46,8
2a467913d5751f2ac544ca7bba4b09ed0813def5,NA,NA,NA,Chironomidae,NA,NA,Chironomidae,Orthocladius,Orthocladius sp. BOLD-2016,3890,12,4
2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,NA,NA,NA,NA,NA,NA,NA,NA,NA,1499788,598,8
32162e451e12cdf5cf3628007e99b0efa1ba946b,NA,NA,NA,NA,NA,NA,Phaeocystaceae,Phaeocystis,Phaeocystis antarctica,155327,137,8
3400fc041acb572e2aa906bb0fb7a1c28e85e1e3,NA,NA,NA,NA,NA,NA,NA,NA,NA,309,23,6
36c818db4090915c631f7ead3de271544a995e70,NA,NA,NA,NA,NA,NA,NA,NA,NA,212918,193,8
383071c983420e47209b84134427d3a6a85cff6d,NA,NA,NA,NA,NA,NA,NA,NA,NA,16809,73,8
38fb9aeed2e2b5f00593e1779bd9c53815738739,NA,NA,NA,NA,Leohumicola,Leohumicola verrucosa,NA,Phialocephala,NA,1231,15,5
3a229bd591b0a7bc835d16cc28f1a6fb787e07f7,NA,NA,NA,NA,NA,NA,NA,NA,NA,5091,112,8
3aee4b429c01889e05c2445bcb9649cb78a4c5d0,NA,NA,NA,Pythiaceae,Pythium,NA,NA,NA,NA,1977,48,8
3b3369a0a9ba5c261bbb0a60efc874383590e67a,NA,NA,NA,Chordariaceae,NA,NA,Pythiaceae,Pythium,Pythium sp. CAL-2011c,616,37,7
3dafadd76832873fca2fe516098af23689754cee,NA,NA,NA,NA,NA,NA,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos,45682,97,8
3e4d13852db2071eadbae43ee87c52f34855d8d1,NA,NA,NA,NA,NA,NA,NA,NA,NA,375,15,7
3fbc8047875aee347a93c498f8799ce6d47914e3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2353,67,8
409153d7ec8b5723a507ca53505c97f4c5df28ad,NA,NA,NA,Kareniaceae,NA,NA,Kareniaceae,NA,NA,4711,106,8
416cd3c509c24460bbaba8f96bc67c672de2bc08,NA,NA,NA,NA,NA,NA,NA,NA,NA,24058,131,8
433f1af44603d12596cb3c6f0ef504ea0fde6884,NA,NA,NA,NA,NA,NA,NA,NA,NA,96622,179,8
44041f7c4fda6216593bab996188e54faf98759b,NA,NA,NA,NA,NA,NA,NA,NA,NA,12077,74,8
47262502d2eb5212964075d43852adcb0192449f,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,117,8
484b2a75964b75771b9f6f33702471dd3f6807f1,NA,NA,NA,NA,NA,NA,NA,NA,NA,594,49,8
4b878acce00f9a3d5cdc1f3344ec325a7dd28784,NA,NA,NA,NA,NA,NA,Thalassiosiraceae,Thalassiosira,Thalassiosira nordenskioeldii,257796,584,8
50a7e55327aa382d9403718b8f0815eab9d7eb49,NA,NA,NA,NA,NA,NA,NA,NA,NA,1575,11,2
52ac6f8082f0cfa8b07863f388b5c15ef1ccb145,NA,NA,NA,NA,NA,NA,Mamiellaceae,Micromonas,Micromonas pusilla,42268,119,8
530332b6c6e43a7d1e7bcb470789872ba633db67,NA,NA,NA,Chordariaceae,NA,NA,Chordariaceae,NA,NA,329,16,6
55b089d7b7670dad949bddf47605002adb03978b,NA,NA,NA,NA,NA,NA,NA,NA,NA,2568,43,7
56a7e3ca04245b2dbd25ae606af2aa452064362d,NA,NA,NA,NA,NA,NA,NA,NA,NA,9938,205,8
5ae1341da7ed3b29f88201563c85b12b0112a65a,NA,NA,NA,NA,NA,NA,Cymatosiraceae,Minutocellus,Minutocellus polymorphus,464755,392,8
5cc177770b8a0d07bf6a3603c78c99812ab120bf,NA,NA,NA,NA,NA,NA,NA,NA,NA,54390,284,8
5ee1dd4f9d9a344609739d60b326646fd9bcb7f8,NA,NA,NA,NA,NA,NA,NA,NA,NA,4427,93,8
5ff69e9f91d52b7ae4c76e89a79d1b67b44b0fb2,Ceramiaceae,Callithamnion,Callithamnion corymbosum,Ceramiaceae,Callithamnion,NA,Ceramiaceae,Callithamnion,Callithamnion corymbosum,493,21,5
60b5b5ab801910d9b6cfa657756b27b4f914ade6,NA,NA,NA,NA,NA,NA,NA,NA,NA,645,37,7
61316716168d01b71b72a5140a56d94ded89efb2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1335,12,5
62c5e30eab6ab36c5f054a3bfa660edb27c6d19a,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,9,5
63168f01c9901536706a2940424991fc9e53cd93,NA,NA,NA,NA,NA,NA,NA,NA,NA,1773,26,3
65be932ba79946306a24076cf0e15d584f443e15,NA,NA,NA,NA,NA,NA,NA,NA,NA,17301,277,8
67b2f44d90d95348a5dac8d855192046ace7bd0e,NA,NA,NA,NA,NA,NA,Pythiaceae,Pythium,Pythium tracheiphilum,21556,219,8
697fbe5e6d2f6b4cf245da433e53d868cd1acfbc,NA,NA,NA,NA,NA,NA,NA,NA,NA,18233,140,7
6c8a24dc9a68fb951192b9d67b123b76ef14c802,NA,NA,NA,NA,NA,NA,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos,102635,202,8
6e0f9bcf5c8b800b961eedea676297dbfb82c463,NA,NA,NA,NA,NA,NA,Ectocarpaceae,Ectocarpus,Ectocarpus siliculosus,438,22,7
6f98e637735b187cd156c79b8f022a0bc63d5fc5,NA,NA,NA,NA,NA,NA,Mamiellaceae,Micromonas,Micromonas pusilla,124179,453,8
71963779b3f1802cce5847f30cf1f498eec6dee0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3428,26,6
7237bd9dda56dafaf30572f138dae69d125c24c6,NA,NA,NA,NA,NA,NA,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos,418183,342,8
74bd536a982117e99a75e40240e0e3b1b1f81a5c,NA,NA,NA,NA,NA,NA,Triparmaceae,Triparma,Triparma laevis,330279,364,8
760e57988a24b56db75041740f3b1e9406094e56,NA,NA,NA,NA,NA,NA,NA,NA,NA,11869,99,8
77bdf39167ea91b04a63e2a9551d8b699b99e8b5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2725,54,8
77d4683b89efd92a4db569b8bd759dc23bdf73e3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3591,62,7
77ed8293f4dd48a15487068a04d34f148b0e9025,NA,NA,NA,NA,NA,NA,NA,NA,NA,807,55,8
7a449b2e9fa6a617b2d0467b004ffd5ea7591e0d,NA,NA,NA,NA,NA,NA,NA,NA,NA,7651,135,8
7a57c9dbd7b24dce9db21f770aa8a31dab53051b,Phaeocystaceae,Phaeocystis,NA,NA,NA,NA,NA,NA,NA,201495,333,8
7be9b1e29a01bbf1b1fce56f741c9042cc39bdf7,NA,NA,NA,NA,NA,NA,NA,NA,NA,691716,393,8
7bfd8b1ec0aea8c1c0c214ba312013c54d34690e,NA,NA,NA,NA,NA,NA,NA,NA,NA,505,28,6
7d50b92ac557759c682506e29ee7252dd4e7ec04,NA,NA,NA,NA,NA,NA,NA,NA,NA,1138,27,6
7ddd952eee892d307da6fe02f5ad98ade084b431,NA,NA,NA,NA,NA,NA,NA,NA,NA,879,46,8
7edcb3cd12bc6dfa116eb108fb9c9b95527a931e,NA,NA,NA,NA,NA,NA,NA,NA,NA,417851,123,8
815b07722c18da054be250130349408a01af3505,NA,NA,NA,NA,NA,NA,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos,6009,48,8
83334fa70e3fa4e07973c5ed12903166a1da716f,NA,NA,NA,NA,NA,NA,NA,NA,NA,27541,210,8
84778b35e3ff24c5d8d40c8e0e7341e183ef93d3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5735,30,5
84d8153ffbeea91cefe639f05d84a3c563ab7190,NA,NA,NA,NA,NA,NA,NA,NA,NA,474,15,7
85764f5caf329ce5383959fb02a3e2d93427f50e,NA,NA,NA,NA,NA,NA,NA,NA,NA,1143,36,5
87080ec2cce1cbcfc4b0e98e526ec04f1bdc4aa6,NA,NA,NA,Pseudeurotiaceae,Pseudogymnoascus,NA,NA,NA,NA,1723,8,3
873908e952c383394940460d81669338ffe9c36b,NA,NA,NA,NA,NA,NA,NA,NA,NA,7597,200,8
89a320a774131a1e0fd52f7fa9fa7bacf8d82d13,NA,NA,NA,NA,NA,NA,NA,NA,NA,2519,84,8
8a1c9da427aa6f155aaa44acd2708f79db93e1d1,NA,NA,NA,NA,NA,NA,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,1794054,341,8
8da6a90264f11ade3077e3ec214bc9995e17e14c,NA,NA,NA,NA,NA,NA,NA,NA,NA,600548,465,8
913bd86c3638ee2b616020e99a80420b229b822a,NA,NA,NA,NA,NA,NA,NA,NA,NA,49362,247,8
93aea946659c4d36b1beb1225dfc6d8df252dce3,NA,NA,NA,NA,NA,NA,NA,NA,NA,68511,217,8
9402a7067c5f07e093e31adf849318245f495bb9,NA,NA,NA,NA,NA,NA,Mamiellaceae,Micromonas,Micromonas pusilla,67491,188,8
96ddb4a301930e1c051919b441ea809bb85dfc5f,NA,NA,NA,NA,NA,NA,NA,NA,NA,7508,119,8
97ea6dad04c3a91e3f4296d44df07eb62a92b632,NA,NA,NA,NA,NA,NA,NA,Pyramimonas,Pyramimonas parkeae,3974,69,8
97f36d14a9e4f7759ee7c6212aee8f6855de0dfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,4103,93,8
9c53914905c617460d9bd49c101ce533973cc1c0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4061,136,8
9d7d00cafd683aba8b180cef2841b6d13879d622,NA,NA,NA,NA,NA,NA,NA,NA,NA,8070,84,8
9ebd0bcbae3f4ee1f10ba13d858e85af17744e67,Hominidae,Homo,Homo sapiens,NA,NA,NA,Hominidae,Homo,Homo sapiens,10223,85,8
a0a06ae521f5443dc1addd27a59dd47cdc0c6a61,NA,NA,NA,NA,Dictyocha,Dictyocha speculum,NA,Dictyocha,Dictyocha speculum,11278,83,7
a21893511785fd0c4fea7e987cee60255a88951e,NA,NA,NA,NA,NA,NA,NA,NA,NA,4071,68,7
a31d4e16bf8a39f654272a1186dba2dda26ab921,NA,NA,NA,NA,NA,NA,NA,NA,NA,1036232,416,8
a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,NA,NA,NA,NA,NA,NA,Mamiellaceae,Micromonas,Micromonas pusilla,2721028,685,8
ac6d5124a43d8d560637100bfbb7723319f3170a,NA,NA,NA,NA,NA,NA,NA,NA,NA,965,31,7
ad4dfaacc17a5aa11bdae849ad57595ef9877f44,NA,NA,NA,NA,NA,NA,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos,27254,111,8
ad505fae33afb30b008b05493274a86b90dfb19c,NA,NA,NA,NA,NA,NA,NA,NA,NA,23221,192,8
ad6dfc837550b177d564bf00ed25d8f0b9f77ea8,NA,NA,NA,NA,NA,NA,NA,NA,NA,5830,90,8
adb6bebe24ca9d2758cd90e8a83282fe40c24287,NA,NA,NA,NA,NA,NA,NA,NA,NA,2383,58,8
ae3eb63414d8c1bb606efb9cb03881f29fd8027b,NA,NA,NA,NA,NA,NA,NA,NA,NA,42761,370,8
ae5d67ac31be4c4e21002ed23507a70b94917b7b,NA,NA,NA,NA,NA,NA,NA,NA,NA,3213,63,8
af7152e514a5fe07118bba71dc8d72265671a7d5,NA,NA,NA,NA,NA,NA,NA,NA,NA,32143,143,8
b14e192ef4db4138ef5da5fa073aee9196146841,NA,NA,NA,NA,NA,NA,Capitellidae,Barantolla,Barantolla americana CMC01,45107,43,4
b1a34b52e9dbe50cc0e7728a1c7595dcf1351f25,NA,NA,NA,NA,NA,NA,Phaeocystaceae,Phaeocystis,Phaeocystis antarctica,1303884,384,8
b225bfcea8b5202dd0df2f78d413de25b8be5d77,NA,NA,NA,NA,NA,NA,NA,NA,NA,1265,69,8
b3b7552ad4cb087f2533f45f05c840503002203e,NA,NA,NA,NA,NA,NA,Mamiellaceae,Micromonas,Micromonas pusilla,739415,652,8
b57949f2759ef72fe986ab28e641f624ddef6661,NA,NA,NA,NA,NA,NA,Dinobryaceae,Poteriospumella,Poteriospumella lacustris,36971,220,8
b7eebc972a501f45dc75ca927257bb6f54df7023,NA,NA,NA,NA,NA,NA,NA,NA,NA,8577,95,8
b81c46025956944d1a86ee62411dd97631b6f31c,NA,NA,NA,NA,NA,NA,NA,NA,NA,18701,100,8
b91ae5ebe722e4f1187f9ee0064f9bde1c806212,NA,NA,NA,NA,NA,NA,NA,NA,NA,23711,42,7
ba037c5747f64d983c0fc4f34104fc367b8bae71,NA,NA,NA,NA,NA,NA,NA,NA,NA,3063,61,7
ba90cc88bc8270ee02b97b84ca4c5ea8e6cb6530,NA,NA,NA,NA,NA,NA,NA,NA,NA,745,19,5
bb8c0ff1c2329d06c969ffe845ffaa1e2d3afecd,NA,NA,NA,NA,NA,NA,NA,NA,NA,3301,85,8
bc7798d3a55901fe59d6bb982bb5e6ab5a08c019,NA,NA,NA,NA,NA,NA,NA,NA,NA,31162,181,8
c770016f14d297194d21859a099a36519b97635a,NA,NA,NA,NA,NA,NA,NA,NA,NA,158617,351,8
c845851daf582de7a588dac1c525e0b4ec91ee6c,NA,NA,NA,NA,NA,NA,NA,NA,NA,9560,136,8
c97e203113b40b77e44612c1d6e835474a9ddfac,NA,NA,NA,NA,NA,NA,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos,49181,114,7
c9ea56e8f469d0252c2a3944c7f9990ba143a838,NA,NA,NA,NA,NA,NA,Naviculaceae,Navicula,Navicula ramosissima,1425,21,6
cbc84fc9cafee62700315e8cb2dd27fbde6be74d,NA,NA,NA,NA,NA,NA,NA,NA,NA,1784,84,8
cbfc5a373ffba1442245708d2904af20c6c637e9,NA,NA,NA,NA,NA,NA,NA,NA,NA,3900,48,5
cc31829956f99898e6346ea28c395954ce5c56a9,NA,NA,NA,NA,NA,NA,Chaetocerotaceae,Chaetoceros,Chaetoceros socialis,29870,222,8
cc4eba55393d34e332fd8a6f9a34d4009a15e054,NA,NA,NA,NA,NA,NA,Capitellidae,Barantolla,Barantolla americana CMC01,3528,8,2
cc641d3be8658bf309461ade2f85466110d635ba,NA,NA,NA,NA,NA,NA,NA,NA,NA,32036,142,8
ce56d5057970a3d9709af7bb5c548c727816b6fc,NA,NA,NA,NA,NA,NA,NA,NA,NA,1424,19,7
ce7a39cabc8fa6136cfc5af5c815fc5293218520,NA,NA,NA,NA,NA,NA,NA,NA,NA,63363,247,8
