sample,mean.TA,mean.DIC,Salinity,Temperature,Omega.aragonite,pH
CP_201706,2104.4969,1857.976,30.314571,11.2,2.5203292565226953,8.25355601432823
CP_201707,2124.6437,1931.206,29.242153,11.9,1.9986791960912773,8.13958002424477
CP_201708,2119.4037,2076.161,26.144057,11.4,0.7823029233320437,7.738823697675051
CP_201709,2145.7348,1968.397,30,11.02,1.7890610117229258,8.101479662659067
CP_201711,2121.4426,1997.276,30,9.23,1.3141769412022422,7.991278797120984
CP_201801,2129.2432,2025.241,30,8,1.1500140623494073,7.948970154039524
CP_201803,2117.7607,1922.812,25,8.8,2.0040405325001993,8.256983816319424
CP_201805,2138.5464,1945.818,28,11.2,1.962438931067946,8.164831814669467
CP_201807,2135.9375,1908.473,27,12,2.3188877114906794,8.245245100353273
FH_201706,1967.3761,1810.205,25.48869,11.63,1.7172482355610796,8.131349642646995
FH_201707,2109.2131,2002.899,25.667427,11.25,1.2501669629146128,7.967377061105245
FH_201708,2093.1638,2039.298,25.548269,11.91,0.8482721353384863,7.7798355805401656
FH_201709,2141.6948,2041.614,29,11.07,1.1537695082282036,7.901859178595591
FH_201711,2106.5905,2024.333,29.5,9.22,0.9938745874409404,7.868567887202248
FH_201801,2110.1424,2050.176,29,7.98,0.8381855286906135,7.815730972916528
FH_201803,2124.4854,1993.588,26,9,1.4093155969145974,8.06984862083706
FH_201805,2128.3313,1975.71,27,10.3,1.6009857181593425,8.094811162524028
FH_201807,2110.9405,1954.818,25,11.8,1.666478311668761,8.11306527282431
LK_201706,2118.4872,1862.752,30.314571,11.2,2.614436626890539,8.269740289128718
LK_201707,2153.7481,1902.406,26.620687,12.3,2.6347782942931324,8.29291098206565
LK_201708,2148.6678,2116.019,26.501529,10.9,0.7233897925103121,7.7009764812831305
LK_201709,2165.9256,1963.371,30,11.3,2.0261087816235146,8.153174495961808
LK_201711,2177.8081,2017.232,30,9.3,1.63876237851673,8.08252141548192
LK_201801,2155.4719,2044.992,29,8.13,1.21750334633075,7.97743176972726
LK_201803,2150.6837,1979.91,29,8.7,1.7283038765980765,8.135033916527812
LK_201805,2138.8818,1971.803,29,11,1.7115257310028624,8.09129858788258
LK_201807,2079.8998,1843.42,27,12.47,2.387955877724003,8.266178065066152
LL_201705,1530.5943,1358.141,20.245759,18.1,1.8262773811878996,8.242807040161091
LL_201706,1607.2714,1493.552,22.40251,17.94,1.2245304895297222,8.006546604183779
LL_201707,1543.3734,1381.749,16.015666,16.4,1.753876383442068,8.306587711233465
LL_201708,1701.3718,1609.154,20.543653,18.4,1.0978372789195459,7.93902637971152
LL_201709,1959.5238,1805.744,27,12.7,1.573297064743839,8.083638888397818
LL_201711,1376.3205,1571.521,22.807646,10.3,0.07203496127340629,6.877903423243601
LL_201801,1859.4254,1738.193,25,9.12,1.249496970885586,8.08720223594871
LL_201803,1734.4402,1618.585,21,9.53,1.2017398793712786,8.146582545841621
LL_201805,1429.4347,1249.064,11,15.4,1.9810979007111864,8.536043125052235
LL_201807,1887.0403,1597.188,10,19.2,3.5679972236209885,8.647806721321537
PO_201705,1489.4169,1346.375,18.160502,18.05,1.5574727741035737,8.192082479736264
PO_201706,1599.7757,1467.066,22.807646,17.48,1.3821535535041127,8.07170911646853
PO_201707,1711.8917,1550.014,19.912118,22.1,1.8255914594194742,8.120145543292297
PO_201708,1810.8627,1704.953,20.543653,18.12,1.2558312247084136,7.977714647159348
PO_201709,1708.1631,1586.967,15,12.38,1.3310142717871574,8.225420900356587
PO_201711,1535.4783,1478.403,15,9.8,0.6964826551369563,8.023542354206475
PO_201801,2008.3296,1890.793,20,9.99,1.3160884288563157,8.12316742931316
PO_201803,2056.9277,1907.759,25,10.8,1.5749115901186204,8.117171565156356
PO_201805,1680.3948,1482.672,15,13.7,2.1178001495152454,8.44051866261191
PO_201807,1953.0407,1715.327,17,20.4,2.7237182905973505,8.32970244447159
SA_201705,2010.8233,1705.124,29.992845,12.71,3.0571677698041273,8.364644553627807
SA_201706,1896.8286,1663.901,27.573947,15.6,2.3360434386423323,8.23287152501275
SA_201707,1889.1732,1613.302,23.760906,17.5,2.9175861526298097,8.356663758330942
SA_201708,2094.7008,1908.239,24.583093,14.7,2.036425007621798,8.1538252024736
SA_201709,2077.694,1940.855,27,12.6,1.4657437923541161,8.02230090937016
SA_201711,2020.6454,1922.356,27,10,1.106605143555274,7.950631832412722
SA_201801,1982.3212,1823.806,25,7.98,1.6090475757316733,8.197916570740828
SA_201803,2002.5925,1834.46,25,10,1.721799434246466,8.188635962858271
SA_201805,2010.9242,1669.811,23,15.4,3.5801885185980056,8.4989081270716
SA_201807,2145.2186,1900.541,26,13.22,2.529732657048218,8.275936236116252
TR_201705,1599.9331,1375.247,23.129371,17.5,2.2983775360954115,8.319787891308263
TR_201706,1742.8426,1540.464,23.844316,17.82,2.089388071814987,8.217629723636193
TR_201707,1702.7791,1510.506,20.781968,20.5,2.0907764012826022,8.212707399312482
TR_201708,1808.2477,1642.368,21.44925,19.87,1.8444323299129204,8.120313469581212
TR_201709,1993.7342,1837.398,25,12.86,1.6379025459402445,8.113699621906518
TR_201711,1996.2456,1909.319,24,11,1.0354393874031336,7.942080118116935
TR_201801,1732.0284,1627.324,23,8.32,1.080993457945767,8.092880317008825
TR_201803,1966.4781,1826.128,25,9.7,1.4554119649536896,8.121828615684636
TR_201805,1867.5814,1507.067,20,17,3.853267790885011,8.597323684034771
TR_201807,1997.8729,1734.965,21,20.4,2.903304827275554,8.310956402722695
TW_201705,1518.1809,1383.914,18.160502,19.23,1.4984991339307812,8.13927648953247
TW_201706,1717.2914,1541.722,20.698558,21.5,1.934845234356271,8.1519555005197
TW_201707,1744.5593,1566.744,20.543653,16.8,1.913364465537815,8.227804651863321
TW_201708,1718.7985,1620.756,19.590392,19.97,1.1811832236393185,7.951297992835792
TW_201709,1874.7856,1683.091,20,16.7,2.0641842677373896,8.250400667413679
TW_201711,1412.5997,1357.15,15,9.2,0.6452641599055532,8.0399363004988
TW_201801,1410.1565,1252.623,12.023889,7.17,1.6671730729244303,8.573133839050971
TW_201803,1765.2429,1575.118,16,10.29,2.005031704748693,8.43435989556038
TW_201805,1687.2316,1466.111,15,17,2.4217571767072883,8.446076376854693
