Site,Date,mean.TA,mean.DIC,mean.DIC.new.sal,Salinity,Salinity.new,DO (%),DO (mg/l),Temperature,Area,Omega.aragonite,pH,pH_new
PO,2017-03-01,1556.5964,1493.7088,1489.21,24.037721,20.66281,NA,NA,8.6,Hood Canal,0.8068500529213,7.924689495861512,7.999032903538415
TW,2017-03-01,1374.1101,1307.296,1302.334,17.579481,14.228303,NA,NA,7,Hood Canal,0.817874598544332,8.0887571516921,8.182143793968187
LL,2017-03-01,1877.6496,1780.3638,1767.105,22,17,NA,NA,10,Hood Canal,1.2387564458163085,8.037753066981008,8.158254401851103
SA,2017-03-01,2008.9051,1899.8582,1885.756,30,25,NA,NA,10,Hood Canal,1.3224544543751202,7.945830979076239,8.060198790954049
TR,2017-03-01,1941.7959,1827.954,1814.36,25,20,NA,NA,10,Hood Canal,1.385838264711742,8.039211052727325,8.163795957936212
TR,2017-04-01,1830.6571,1933.53,1919.488,24,19,NA,NA,11.97,Hood Canal,0.21524396517404737,7.187772942711648,7.2735831239857305
SA,2017-04-01,2037.3175,2263.7283,2246.908,27,22,NA,NA,10.9,Hood Canal,0.1423964283842097,6.943003646100488,7.005299142758953
LL,2017-04-01,1651.7764,1830.2123,1825.133,26.323308,22.616994,NA,NA,11.27,Hood Canal,0.11751688194127968,6.951898166746148,6.987420898773401
PO,2017-04-01,1077.0704,1251.2474,1245.3,9.619029,6.542642,NA,NA,13.8,Hood Canal,0.042407608517069234,6.88774729200897,6.945741225204932
TW,2017-04-01,1587.3689,1774.9864,1769.127,21.816001,18.27966,NA,NA,14.9,Hood Canal,0.10510367839636736,6.907667726381982,6.938771968213601
LL,2017-05-01,1530.5943,1362.3133,1358.141,23.859148,20.245759,NA,NA,18.1,Hood Canal,1.8262773811878996,8.165636142032513,8.242807040161091
PO,2017-05-01,1489.4169,1350.8542,1346.375,21.692174,18.160502,NA,NA,18.05,Hood Canal,1.5574727741035737,8.122223203933164,8.192082479736264
SA,2017-05-01,2010.8233,1708.3484,1705.124,33.988207,29.992845,NA,NA,12.71,Hood Canal,3.0571677698041273,8.301608266506365,8.364644553627807
TR,2017-05-01,1599.9331,1378.989,1375.247,26.855765,23.129371,NA,NA,17.5,Hood Canal,2.2983775360954115,8.246908594600013,8.319787891308263
TW,2017-05-01,1518.1809,1388.5175,1383.914,21.692174,18.160502,NA,NA,19.23,Hood Canal,1.4984991339307812,8.069409165389347,8.13927648953247
CP,2017-06-01,2104.4969,1861.4179,1857.976,34.322541,30.314571,100,NA,11.2,SJI,2.5203292565226953,8.1917112903268,8.25355601432823
LK,2017-06-01,2118.4872,1866.203,1862.752,34.322541,30.314571,100.6,NA,11.2,SJI,2.614436626890539,8.207891512985377,8.269740289128718
FH,2017-06-01,1967.3761,1814.6127,1810.205,29.307542,25.48869,81.7,NA,11.63,SJI,1.7172482355610796,8.062818755492009,8.131349642646995
