kingdom,phylum,class,order,family,genus,species
Metazoa,Arthropoda,Arachnida,Sarcoptiformes,Proctophyllodidae,NA,NA
Metazoa,Arthropoda,Branchiopoda,Diplostraca,Podonidae,Evadne,Evadne nordmanni
Metazoa,Arthropoda,Branchiopoda,Diplostraca,Podonidae,Pleopis,NA
Metazoa,Arthropoda,Collembola,Neelipleona,Neelidae,Megalothorax,NA
Metazoa,Arthropoda,Hexanauplia,Calanoida,Centropagidae,Centropages,Centropages abdominalis
Metazoa,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,Calanus pacificus
Stramenopiles,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira nordenskioeldii
Stramenopiles,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros socialis
Stramenopiles,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira punctigera
Stramenopiles,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema dohrnii
Stramenopiles,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros sp. MBTD-CMFRI-S062
Stramenopiles,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema japonicum
Stramenopiles,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema cf. pseudocostatum
Stramenopiles,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros sp. MBTD-CMFRI-S045
Stramenopiles,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira pseudonana
Stramenopiles,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,Rhizosolenia setigera
Stramenopiles,Bacillariophyta,Fragilariophyceae,Thalassionemales,Thalassionemataceae,Thalassionema,Thalassionema nitzschioides
Stramenopiles,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,Coscinodiscus wailesii
Stramenopiles,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia longissima
Stramenopiles,Bacillariophyta,Coscinodiscophyceae,Melosirales,Stephanopyxidaceae,Stephanopyxis,Stephanopyxis turris
Stramenopiles,Bacillariophyta,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,Melosira nummuloides
Stramenopiles,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula ramosissima
Stramenopiles,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula cryptocephala
Stramenopiles,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia cf. promare
Stramenopiles,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula sp. BOLD:AAO6951
Stramenopiles,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia palea
Stramenopiles,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia cf. recta RT-2009
Stramenopiles,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula sp. BOLD:AAO6950
Stramenopiles,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula glaciei
Stramenopiles,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,Navicula sp. BOLD:AAO6949
Stramenopiles,Bacillariophyta,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,Melosira ambiqua
Stramenopiles,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema clevei
Stramenopiles,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema parvulum
Stramenopiles,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Pinnularia,Pinnularia sp. 5 CS-2011
Stramenopiles,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Pinnularia,Pinnularia acrosphaeria
Stramenopiles,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Pinnularia,Pinnularia parvulissima
Stramenopiles,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Pinnularia,Pinnularia subanglica
Stramenopiles,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,Cylindrotheca closterium
Stramenopiles,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Asterionellopsis,Asterionellopsis glacialis
